Pooled_198Drivers	Remaining_151Drivers
ACAD8	ACAD8
ACO1	ACO1
ACTG1	ACTG1
ACTG2	ACTG2
ACVR1B	ACVR1B
ACVR2A	ACVR2A
ADAM10	ADAM10
ADGRL2	AFF4
AFF2	AKT1
AFF4	ARFGAP1
AKT1	ARHGAP26
AMER1	ATIC
ARFGAP1	ATP6AP2
ARHGAP26	BAP1
ARID1A	BLM
ASXL3	BMPR2
ATIC	BRWD1
ATM	CAPN7
ATP6AP2	CARM1
BAP1	CASP8
BAZ2B	CAT
BLM	CCAR1
BMPR2	CCT5
BRAF	CDH1
BRWD1	CDKN1B
CAPN7	CHD1L
CARM1	CHEK2
CASP8	CIC
CAT	CLASP2
CCAR1	CLSPN
CCT5	CNOT3
CDH1	CNOT4
CDH12	COPS2
CDK12	CRNKL1
CDKN1B	CSNK1G3
CDKN2A	CTCF
CHD1L	CUL2
CHEK2	CUL3
CIC	CYLD
CLASP2	DDX3X
CLSPN	DDX5
CNOT3	DHX15
CNOT4	EEF1B2
COL1A1	EFTUD2
COPS2	EIF2AK3
CREBBP	EIF2C3
CRNKL1	EIF4A2
CSNK1G3	EP300
CTCF	EPHB2
CTNNB1	ERBB2IP
CUL2	ERCC2
CUL3	EZH2
CYLD	FBXW7
DDX3X	FGFR2
DDX5	FMR1
DHX15	FUBP1
DNMT3A	FUT9
EEF1B2	FXR1
EFTUD2	G3BP1
EGFR	G3BP2
EIF2AK3	GNAI1
EIF2C3	GNG2
EIF4A2	GPSM2
EIF4G1	HLA-A
EP300	HSP90AA1
EPHA4	HSP90AB1
EPHB2	HSPA8
ERBB2IP	IDH1
ERCC2	IREB2
EZH2	IRS2
FAT1	KDM6A
FBXW7	KLF6
FGFR2	LCP1
FMR1	LDHA
FN1	MAP2K1
FUBP1	MAP2K4
FUT9	MAP3K1
FXR1	MAP4K1
G3BP1	MAP4K3
G3BP2	MAX
GNAI1	MED17
GNG2	MED24
GPSM2	MEN1
HLA-A	MKL1
HSP90AA1	MLH1
HSP90AB1	MSR1
HSPA8	MYB
IDH1	MYH10
IREB2	NCK1
IRS2	NCKAP1
KDM6A	NECAB1
KDR	NEDD4L
KEAP1	NF2
KLF6	NFE2L2
KMT2A	NPM1
KMT2C	NRAS
KRAS	NTN4
LCP1	NUP107
LDHA	PAX5
MAP2K1	PBRM1
MAP2K4	PCSK6
MAP3K1	PHF6
MAP3K4	PIK3R1
MAP4K1	PIK3R3
MAP4K3	PIP5K1A
MAX	POLR2B
MED17	PPP2R1A
MED24	PPP2R5A
MEN1	PRPF8
MET	PRRX1
MGA	PSMA6
MKL1	PSMD11
MLH1	PTEN
MMP16	PTGS1
MMP2	PTPN11
MSR1	RAD23B
MYB	RASA1
MYH10	RBM5
NCAM1	RHEB
NCK1	RIT1
NCKAP1	RTN4
NECAB1	SETDB1
NEDD4L	SF3B1
NF1	SFPQ
NF2	SFTPB
NFE2L2	SHMT1
NPM1	SIN3A
NRAS	SMAD2
NTN4	SMC1A
NTRK2	SOX1
NUP107	SOX9
NUP98	SPRR3
PAX5	STAG1
PBRM1	STIP1
PCSK6	STK4
PHF6	SYNCRIP
PIK3CA	TAOK1
PIK3R1	TAOK2
PIK3R3	TBL1XR1
PIP5K1A	TCF12
POLR2B	TCF4
PPP2R1A	TCF7L2
PPP2R5A	TFDP1
PRKCB	TGFBR2
PRPF8	TNPO1
PRRX1	TOM1
PSMA6	TP53BP1
PSMD11	U2AF1
PTEN	UPF3B
PTGS1	ZMYM2
PTPN11	ZNF814
PTPRD	
RAD23B	
RASA1	
RB1	
RBM10	
RBM5	
RHEB	
RIT1	
RTN4	
RYR2	
SETD2	
SETDB1	
SF3B1	
SFPQ	
SFTPB	
SHMT1	
SIN3A	
SMAD2	
SMAD4	
SMARCA4	
SMC1A	
SORCS3	
SOX1	
SOX9	
SPRR3	
STAG1	
STIP1	
STK11	
STK4	
SVEP1	
SYNCRIP	
TAOK1	
TAOK2	
TBL1XR1	
TCF12	
TCF4	
TCF7L2	
TFDP1	
TGFBR2	
TNPO1	
TOM1	
TP53	
TP53BP1	
U2AF1	
UPF3B	
ZMYM2	
ZNF814	
